date,BTC,BNB,SOL,ETH,XRP,INJ,DOGE,LTC
2026-03-15,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-03-22,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-03-29,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-04-05,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-04-12,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-04-19,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-04-26,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-05-03,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-05-10,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-05-17,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-05-24,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-05-31,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
2026-06-07,27.5,9.5,83.0,80.1,30.0,100,50.0,89.8
